Date,Affected Legislation (Act),Affected Provision,Type of Effect,Affecting Legislation (Year and Chapter or Number),Affecting Provision ,Amendment applied to Database,Checked (Y or leave Blank),Transferred to Final TOES Chart (Date)
12/1/2009,2006 c. 036,s. 0014(05A),inserted,Digital Economy Bill,s. 0038(06),,,
12/1/2009,2006 c. 036,s. 0014(09),inserted,Digital Economy Bill,s. 0038(07),,,
12/1/2009,2006 c. 036,s. 0043A,inserted,Digital Economy Bill,s. 0039(01),,,
12/1/2009,2006 c. 036,s. 0044(01),text amended,Digital Economy Bill,s. 0039(02),,,
12/1/2009,2006 c. 036,s. 0044(10),text amended,Digital Economy Bill,s. 0039(02),,,
12/1/2009,1984 c. 039,s. 0002(01),text amended,Digital Economy Bill,s. 0040(02)(a),,,
12/1/2009,1984 c. 039,s. 0002(01)(a),text amended,Digital Economy Bill,s. 0040(02)(b),,,
12/1/2009,1984 c. 039,s. 0002(01)(c) and word,repealed,Digital Economy Bill,s. 0040(02)(c) Sch. 03,,,
12/1/2009,1984 c. 039,s. 0002(01A),inserted,Digital Economy Bill,s. 0040(03),,,
12/1/2009,1984 c. 039,s. 0002A,inserted,Digital Economy Bill,s. 0040(04),,,
12/1/2009,1984 c. 039,s. 0003(08A)(08B),inserted,Digital Economy Bill,s. 0040(05),,,
12/1/2009,1984 c. 039,s. 0003(13),inserted,Digital Economy Bill,s. 0040(06),,,
12/1/2009,1984 c. 039,s. 0004ZA-0004ZC,inserted,Digital Economy Bill,s. 0041(01),,,
12/1/2009,1988 c. 048,s. 0116A-0116D,inserted,Digital Economy Bill,s. 0042(01),,,
12/1/2009,1988 c. 048,s. 0179,text amended,Digital Economy Bill,s. 0042(03)(a),,,
12/1/2009,1988 c. 048,s. 0212,text amended,Digital Economy Bill,s. 0042(03)(b),,,
12/1/2009,1988 c. 048,s. 0107(04)(a),text amended,Digital Economy Bill,s. 0043(02),,,
12/1/2009,1988 c. 048,s. 0107(04A)(a),text amended,Digital Economy Bill,s. 0043(02),,,
12/1/2009,1988 c. 048,s. 0198(05)(a),text amended,Digital Economy Bill,s. 0043(03),,,
12/1/2009,1988 c. 048,s. 0198(05A)(a),text amended,Digital Economy Bill,s. 0043(03),,,
12/1/2009,1979 c. 010,s. 0005(02),text amended,Digital Economy Bill,s. 0044(02)-(05) Sch. 03,,,
12/1/2009,1988 c. 048,s. 0040A(01)(01A),substituted for s. 40A(1),Digital Economy Bill,s. 0044(07),,,
12/1/2009,1988 c. 048,Sch. 02 para. 006B(A1)(A2),inserted,Digital Economy Bill,s. 0044(08)(a),,,
12/1/2009,1988 c. 048,Sch. 02 para. 006B(02),text amended,Digital Economy Bill,s. 0044(08)(b),,,
12/1/2009,1988 c. 048,s. 0157(02)(c),power extended,Digital Economy Bill,s. 0047(04),,,
12/1/2009,1984 c. 039,s. 0004(01)(b)(i),text amended,Digital Economy Bill,Sch. 01 para. 002(02)(a),,,
12/1/2009,1984 c. 039,s. 0004(01)(b)(ii),text amended,Digital Economy Bill,Sch. 01 para. 002(02)(b),,,
12/1/2009,1984 c. 039,s. 0004(01C),inserted,Digital Economy Bill,Sch. 01 para. 002(03),,,
12/1/2009,1984 c. 039,s. 0004(03A),inserted,Digital Economy Bill,Sch. 01 para. 002(04),,,
12/1/2009,1984 c. 039,s. 0004(05),substituted,Digital Economy Bill,Sch. 01 para. 002(05),,,
12/1/2009,1984 c. 039,s. 0004(06),repealed,Digital Economy Bill,Sch. 01 para. 002(06) Sch. 03,,,
12/1/2009,1984 c. 039,s. 0004(06A)(06B),inserted,Digital Economy Bill,Sch. 01 para. 002(07),,,
12/1/2009,1984 c. 039,s. 0004(08),text amended,Digital Economy Bill,Sch. 01 para. 002(08)(a),,,
12/1/2009,1984 c. 039,s. 0004(08)(b) and word,inserted,Digital Economy Bill,Sch. 01 para. 002(08)(b),,,
12/1/2009,1984 c. 039,s. 0007(03),inserted,Digital Economy Bill,Sch. 01 para. 003,,,
12/1/2009,1984 c. 039,s. 0007A,inserted,Digital Economy Bill,Sch. 01 para. 004,,,
12/1/2009,1984 c. 039,s. 0008(02)(03),repealed,Digital Economy Bill,Sch. 01 para. 005 Sch. 03,,,
12/1/2009,1984 c. 039,s. 0011(01),text amended,Digital Economy Bill,Sch. 01 para. 006(02),,,
12/1/2009,1984 c. 039,s. 0011(02)(ba),inserted,Digital Economy Bill,Sch. 01 para. 006(03),,,
12/1/2009,1984 c. 039,s. 0012(01),text amended,Digital Economy Bill,Sch. 01 para. 007(02),,,
12/1/2009,1984 c. 039,s. 0012(03),text amended,Digital Economy Bill,Sch. 01 para. 007(02),,,
12/1/2009,1984 c. 039,s. 0012(06),text amended,Digital Economy Bill,Sch. 01 para. 007(03),,,
12/1/2009,1984 c. 039,s. 0013(01),text amended,Digital Economy Bill,Sch. 01 para. 008(02),,,
12/1/2009,1984 c. 039,s. 0013(02)(za),inserted,Digital Economy Bill,Sch. 01 para. 008(03),,,
12/1/2009,1984 c. 039,s. 0014(01),text amended,Digital Economy Bill,Sch. 01 para. 009(02),,,
12/1/2009,1984 c. 039,s. 0014(02)(a)(ia),inserted,Digital Economy Bill,Sch. 01 para. 009(03),,,
12/1/2009,1984 c. 039,s. 0014(03),text amended,Digital Economy Bill,Sch. 01 para. 009(04),,,
12/1/2009,1984 c. 039,s. 0014(04)(a)(ai),inserted,Digital Economy Bill,Sch. 01 para. 009(05),,,
12/1/2009,1984 c. 039,s. 0022(01),text amended,Digital Economy Bill,Sch. 01 para. 010(02),,,
12/1/2009,1984 c. 039,s. 0022(02),text amended,Digital Economy Bill,Sch. 01 para. 010(03),,,
12/1/2009,1984 c. 039,s. 0022(02A),inserted,Digital Economy Bill,Sch. 01 para. 010(04),,,
12/1/2009,1984 c. 039,s. 0022A,inserted,Digital Economy Bill,Sch. 01 para. 011,,,
12/1/2009,1988 c. 048,Sch. A1,inserted,Digital Economy Bill,Sch. 02 para. 001,,,
12/1/2009,1988 c. 048,Sch. 02A para. 001A-001D,inserted,Digital Economy Bill,Sch. 02 para. 002,,,
12/1/2009,1984 c. 039,s. 0022(01),text amended,Digital Economy Bill,Sch. 03,,,
12/1/2009,1990 c. 042,s. 0106(01A)(c),text amended,Digital Economy Bill,Sch. 03,,,
12/1/2009,2003 c. 021,Sch. 15 para. 063,repealed,Digital Economy Bill,Sch. 03,,,
12/1/2009,2003 c. 021,Sch. 15 para. 063 cross-heading,repealed,Digital Economy Bill,Sch. 03,,,
